"id","domain","active"
1,civicactions.com,true
4,acus.gov,true
5,asprswift.hhs.gov,true
6,corrections.az.gov,true
7,catweb.sba.gov,true
8,sdg.data.gov,true
9,caribbean.va.gov,true
10,warrelatedillness.va.gov,true
11,release.nass.usda.gov,true
12,nmri.niddk.nih.gov,true
13,eew-repo.wr.usgs.gov,true
14,waterservices.usgs.gov,true
15,dcvdi.fcc.gov,true
16,page.energy.gov,true
17,napa.ncjrs.gov,true
18,code210.gsfc.nasa.gov,true
19,www.rn.ca.gov,true
20,bja.gov,true
21,www-curator.jsc.nasa.gov,true
22,www.wpc.ncep.noaa.gov,true
23,bwplanner.niddk.nih.gov,true
24,"3dprint.nih.gov",true
25,fm-test2.insuranceoversight.cms.gov,true
26,support.co-ops.nos.noaa.gov,true
27,www.giss.nasa.gov,true
28,vendorresources.mt.gov,true
29,edit-staging-oig.dhs.gov,true
30,rampac.energy.gov,true
31,wi.water.usgs.gov,true
32,www.governor.virginia.gov,true
33,beta-owi.usgs.gov,true
34,www.bankcustomer.gov,true
35,esubmit.rita.dot.gov,true
36,www.lib.noaa.gov,true
37,whitehouseconferenceonaging.gov,true
38,capemaycountynj.gov,true
39,relintranet.ies.ed.gov,true
40,nasarecycles.nasa.gov,true
41,blnc.gov,true
42,extranet-portal.rma.usda.gov,true
43,pareviews.state.gov,true
44,idahonam.atdd.noaa.gov,true
45,u01.eftps.gov,true
46,oauth.alcf.anl.gov,true
47,ncsx.pppl.gov,true
48,disasterloanassistance.sba.gov,true
49,pressreleaseqa.treasuryauction.gov,true
50,iprr.cbp.gov,true
51,cancer.gov,true
52,ecc.earthdata.nasa.gov,true
53,hudvpn1.hud.gov,true
54,www.uspsoig.gov,true
55,idpwebsealp.fhwa.dot.gov,true
56,mawg.cap.gov,true
57,www-sdss.fnal.gov,true
58,rock-access.niaid.nih.gov,true
59,gearup.ed.gov,true
60,"2016.export.gov",true
61,dev2.cms.gov,true
62,esmc-server.jpl.nasa.gov,true
63,samsinfo.lbl.gov,true
64,nihlibrary.nih.gov,true
65,nightsky.jpl.nasa.gov,true
66,pir-wf.fiscal.treasury.gov,true
67,weather.gov,true
68,www.environmentaljustice.gov,true
69,no.pre.usembassy.gov,true
70,iawg.cap.gov,true
71,tatn1pnatest2-taapsprod.treasuryauction.gov,true
72,trn.myeddebt.ed.gov,true
73,bis.data.commerce.gov,true
74,cwsapps.tsa.dhs.gov,true
75,snapp.ctc.nwave.noaa.gov,true
76,cmm.nci.nih.gov,true
77,t-origin.cdc.gov,true
78,gsaxcesspractice.fas.gsa.gov,true
79,damis.dot.gov,true
80,inport.nmfs.noaa.gov,true
81,ncadmin.nc.gov,true
82,flowergarden.noaa.gov,true
83,caleprocure.ca.gov,true
84,teamstepps.ahrq.gov,true
85,benefits.gov,true
86,www-691.gsfc.nasa.gov,true
87,nws.weather.gov,true
88,spofficeext01.pnnl.gov,true
89,firedoc.nist.gov,true
90,endangered.fws.gov,true
91,www.ojjdp.gov,true
92,pst.pppl.gov,true
93,flightopportunities.nasa.gov,true
94,healthandwelfare.idaho.gov,true
95,venice.cit.nih.gov,true
96,nosc-dev.woc.noaa.gov,true
97,staffdirectory.nigms.nih.gov,true
98,visac.ornl.gov,true
99,livelink.nida.nih.gov,true
100,dev2.edit.medicare.gov,true
101,patientcare.va.gov,true
102,foiarequest.ntsb.gov,true
103,www.nida.nih.gov,true
104,wagehour.dol.gov,true
105,www.contracosta.ca.gov,true
106,bcgcfm5.ncifcrf.gov,true
107,www.whitehouse.gov,true
108,taaps.gov,true
109,www.utah.gov,true
110,epa-heast.ornl.gov,true
111,icesat.gsfc.nasa.gov,true
112,energyconversiongroup.lbl.gov,true
113,m.fema.gov,true
114,helpwithmymortgage.gov,true
115,learnnsf.nsf.gov,true
116,parkinsons.va.gov,true
117,datalab-dev.usaspending.gov,true
118,biobeat.nigms.nih.gov,true
119,jats.nlm.nih.gov,true
120,doc.sd.gov,true
121,esh.sandia.gov,true
122,galileo.jpl.nasa.gov,true
123,open.obamawhitehouse.archives.gov,true
124,www.painconsortium.nih.gov,true
125,tac.nist.gov,true
126,natwebsdww02.cr.usgs.gov,true
127,adsorption.nist.gov,true
128,geoservices.sc.egov.usda.gov,true
129,"2010-2014.commerce.gov",true
130,ext.em-la.doe.gov,true
131,doa.az.gov,true
132,webgis.ornl.gov,true
133,pgradsmobile.sandia.gov,true
134,perfstaging.irs.gov,true
135,privacy.nasa.gov,true
136,spars-ta.samhsa.gov,true
137,www.waed.uscourts.gov,true
138,hhscap.hhs.gov,true
139,lincs.ed.gov,true
140,jag.cami.jccbi.gov,true
141,libauth.nga.gov,true
142,arkansasag.gov,true
143,handls.nih.gov,true
144,mplus.nlm.nih.gov,true
145,ncrmsws.niaid.nih.gov,true
146,portal.phmsa.dot.gov,true
147,vinrcl.safercar.gov,true
148,cuidadodesalud.gov,true
149,mepag.jpl.nasa.gov,true
150,asrs.arc.nasa.gov,true
151,www.cdcr.ca.gov,true
152,sti.nasa.gov,true
153,gimms.gsfc.nasa.gov,true
154,insurance.ky.gov,true
155,stopfer.nichd.nih.gov,true
156,preview.cancer.gov,true
157,www.securities.ok.gov,true
158,pubmed.ncbi.nlm.nih.gov,true
159,women.smokefree.gov,true
160,sbo.faa.gov,true
161,www.oge.gov,true
162,relativity.tax.usdoj.gov,true
163,www.governor.pa.gov,true
164,t.cdc.gov,true
165,weeklywire.nsf.gov,true
166,www.training.fema.gov,true
167,www.cdss.ca.gov,true
168,inlaccess.inl.gov,true
169,finchhenry.jobcorps.gov,true
170,sosmt.gov,true
171,espa.cr.usgs.gov,true
172,citrixalb-rs.netl.doe.gov,true
173,pnwpcn0108.care.va.gov,true
174,www.bridgewater-ct.gov,true
175,federalist-4be496a3-cca3-4187-b4d4-c3d573ae3139.sites.pages.cloud.gov,true
176,nssdc.gsfc.nasa.gov,true
177,www.facebook.com,true
178,mcmcweb.er.usgs.gov,true
179,c3.ndc.nasa.gov,true
180,tes-sfa.ornl.gov,true
181,www.taxpayeradvocate.irs.gov,true
182,www.dhs.ri.gov,true
183,oedca.va.gov,true
184,remotepiv.niehs.nih.gov,true
185,simlearn.va.gov,true
186,lgrd.nichd.nih.gov,true
187,www.nco.ncep.noaa.gov,true
188,www.webharvest.gov,true
189,behavioralresearch.cancer.gov,true
190,medpix.nlm.nih.gov,true
191,w.usajobs.gov,true
192,secowa.sec.gov,true
193,extramural-diversity.nih.gov,true
194,blm.usajobs.gov,true
195,tss-staging.d2d.gsa.gov,true
196,bricsguid.nia.nih.gov,true
197,mic.nist.gov,true
198,tmng-al.uspto.gov,true
199,texascoastalprogram.fws.gov,true
200,digital-acquisition-playbook.18f.gov,true
201,web.archive.org,true
202,wwwn.cdc.gov,true
203,vt.ncsbe.gov,true
204,gadsden.jobcorps.gov,true
205,ozone.epa.gov,true
206,acquisitions.jpl.nasa.gov,true
207,testint-oig.dhs.gov,true
208,sclccelllines.cancer.gov,true
209,hudoig.gov,true
210,veterantraining.va.gov,true
211,ftp.coast.noaa.gov,true
212,gjem.energy.gov,true
213,www.secretservice.gov,true
215,geo.api.healthcare.gov,true
216,fsawebenroll.ed.gov,true
217,codesign.lanl.gov,true
218,ncbi.nlm.nih.gov,true
219,esps.nccih.nih.gov,true
220,sentry1.frb.gov,true
221,labs.data.gov,true
222,extapps.ksc.nasa.gov,true
223,www.page.energy.gov,true
224,ethicstraining.od.nih.gov,true
225,www.eac.gov,true
226,lv.usembassy.gov,true
227,sewp.nasa.gov,true
228,mtrac.nichd.nih.gov,true
229,wwwnc.usgs.gov,true
230,trainingcenter.nih.gov,true
231,har.gsfc.nasa.gov,true
232,vpna.llnl.gov,true
233,vpn-ext.pppl.gov,true
234,tm.pre.usembassy.gov,true
235,lep-pds.gsfc.nasa.gov,true
236,edu.wyoming.gov,true
237,npdb-hipdb.hrsa.gov,true
238,meetings.max.omb.gov,true
239,open-forest-dev.app.cloud.gov,true
240,pfasst.lbl.gov,true
241,vote.gov,true
242,www.childwelfare.gov,true
243,poliocontainment.cdc.gov,true
244,www.treasuryhunt.gov,true
245,federalist-76a38c7a-b538-4b4c-b35c-e42c6e455250.app.cloud.gov,true
246,www.cert.eauth.usda.gov,true
247,uavsar.jpl.nasa.gov,true
248,mscs.marad.dot.gov,true
249,pre.page.energy.gov,true
250,lrs.hud.gov,true
251,technology.jsc.nasa.gov,true
252,ada.nv.gov,true
253,spo.nmfs.noaa.gov,true
254,imagej.cit.nih.gov,true
255,alpha.sam.gov,true
256,reports-qt.nwcg.gov,true
257,support.nigc.gov,true
258,www.caregiver.va.gov,true
259,tcc.export.gov,true
260,apply.pmf.gov,true
261,spis.cit.nih.gov,true
262,code.gov,true
263,catran.sba.gov,true
264,nesr.usda.gov,true
265,www.vaforvets.va.gov,true
266,usaxs.xray.aps.anl.gov,true
267,icb.nasa.gov,true
268,www.truman.gov,true
269,dtts.ors.od.nih.gov,true
270,om.edit.usembassy.gov,true
271,dev-myatocareer.faa.gov,true
272,uncertainty.nist.gov,true
273,www.nsf.gov,true
274,tips.nfc.usda.gov,true
275,www.dhhr.wv.gov,true
276,midcdmz.nrel.gov,true
277,insurance.illinois.gov,true
278,hpcdtn.inl.gov,true
279,medicaid.gov,true
280,www.hawaii.gov,true
281,faai.usajobs.gov,true
282,littlerock.jobcorps.gov,true
283,diplomacy.state.gov,true
284,www.medicaid.gov,true
285,epa.velo.pnnl.gov,true
286,confluence.epa.gov,true
287,truman.gov,true
288,reportcard.ride.ri.gov,true
289,pittsburgh.va.gov,true
290,hes.lbl.gov,true
291,dhrd.hawaii.gov,true
292,bioinfo.nist.gov,true
293,stage-cmsmanager.digitalmedia.hhs.gov,true
294,mua.ndc.nasa.gov,true
295,survey.nasa.gov,true
296,eclkc.ohs.acf.hhs.gov,true
297,ag.nv.gov,true
298,nek.ksc.nasa.gov,true
299,eper.cert.sc.egov.usda.gov,true
300,ned.usgs.gov,true
301,sirs.acl.gov,true
302,www.uscfc.uscourts.gov,true
303,atlanta.va.gov,true
304,childcareta.acf.hhs.gov,true
305,uat-apianalytics.ojp.gov,true
306,fedtalent4.ibc.doi.gov,true
307,offcycle.edit.cms.gov,true
308,www.medicare.gov,true
309,jobs.utah.gov,true
310,media.justice.gov,true
311,semanticmedline.nlm.nih.gov,true
312,esaf.fda.gov,true
313,www.consumerfinancialprotectionbureau.gov,true
314,wvs.earthdata.nasa.gov,true
315,courses.america.gov,true
316,touchbase.state.gov,true
317,cbportal.acf.hhs.gov,true
318,dev2.edit.cms.gov,true
319,druginfo.nlm.nih.gov,true
320,findahealthcenter.hrsa.gov,true
321,orapartners.fda.gov,true
322,hs.utah.gov,true
323,earthexplorer.usgs.gov,true
324,its.dot.gov,true
325,"1940census.archives.gov",true
326,poisonhelp.hrsa.gov,true
327,wordpress.cels.anl.gov,true
328,veterans.smokefree.gov,true
329,airconsumer.dot.gov,true
330,preview-api.weather.gov,true
331,ims.eeoc.gov,true
332,eta-stage-publications.lbl.gov,true
333,pico.atdd.noaa.gov,true
334,ostp.gov,true
335,www.plainlanguage.gov,true
336,giitest.dhs.gov,true
337,im.cdc.gov,true
338,franklin.floridahealth.gov,true
339,ims.nci.nih.gov,true
340,training.eacms.cms.gov,true
341,icisbatchcdxtest.epa.gov,true
342,intranet.cc.nih.gov,true
343,towerfts.csbf.nasa.gov,true
344,fam.state.gov,true
345,ppd.fnal.gov,true
346,www.admin.ks.gov,true
347,testmd.orr.noaa.gov,true
348,crashstats.nhtsa.dot.gov,true
349,npqc.lbl.gov,true
350,earlecclements.jobcorps.gov,true
351,mipav.cit.nih.gov,true
352,solrad-net.gsfc.nasa.gov,true
353,pa-pcmail.peacecorps.gov,true
354,etareports.doleta.gov,true
355,cms.gov,true
356,www.disability.gov,true
357,ntia.doc.gov,true
358,slsvvpub1sk.hosc.msfc.nasa.gov,true
359,siss.fincen.gov,true
360,oceanview.pfeg.noaa.gov,true
361,www.cancer.gov,true
362,finance.ky.gov,true
363,cloud-object.larc.nasa.gov,true
364,bamberg.jobcorps.gov,true
365,www.doas.ga.gov,true
366,bg.pre.usembassy.gov,true
367,csat-demo.ornl.gov,true
368,artreporting.cdc.gov,true
369,wipp.energy.gov,true
370,www.nicsezcheckfbi.gov,true
371,accessibility.18f.gov,true
372,cisto.gsfc.nasa.gov,true
373,animalresearch.nih.gov,true
374,dhr.maryland.gov,true
375,www-airsea.jpl.nasa.gov,true
376,citdcbmipav.cit.nih.gov,true
377,trials.nci.nih.gov,true
378,epixforum2.cdc.gov,true
379,www.ncdoj.gov,true
380,metazome.jgi.doe.gov,true
381,tenable.nga.gov,true
382,gp.pnnl.gov,true
383,inms.gsfc.nasa.gov,true
384,files-broker.usaspending.gov,true
385,www.rrb.gov,true
386,www.pretrialservices.gov,true
387,go.max.gov,true
388,far.nbii.gov,true
389,yakama.nsopw.gov,true
390,www.mansfieldct.gov,true
391,jm.edit.usembassy.gov,true
392,specialreports.fcc.gov,true
393,wayback.archive-it.org,true
394,auctionapplicationdemo.fcc.gov,true
395,polaris.es.anl.gov,true
396,windexchange.energy.gov,true
397,lab.edit.america.gov,true
398,cohoweb.gsfc.nasa.gov,true
399,rrc01.aide.oit.va.gov,true
400,montereybay.noaa.gov,true
401,fpki.idmanagement.gov,true
402,clinicalcenter.nih.gov,true
403,cancertraining.nci.nih.gov,true
404,bugs.sit.earthdata.nasa.gov,true
405,stabserv.larc.nasa.gov,true
406,manhattanprojectbreactor.hanford.gov,true
407,maps-stg.mrp.usda.gov,true
408,cloud-west-mobile.fws.gov,true
409,computing.fnal.gov,true
410,www.coronavirus.gov,true
411,www.pr.gov,true
412,www.mymedicare.gov,true
413,authdev.nih.gov,true
414,www.gsaig.gov,true
415,fsc.va.gov,true
416,sft2.doc.gov,true
417,climate.nasa.gov,true
418,forecast.weather.gov,true
419,www.crapo.senate.gov,true
420,southwest.va.gov,true
421,hseep.dhs.gov,true
422,mrisktool.cancer.gov,true
423,www.unlocktalent.gov,true
424,sil-vcsecl.video.dol.gov,true
425,mo-idp.imp.cms.gov,true
426,devsystems.forfeiture.gov,true
427,northport.va.gov,true
428,www.vitema.vi.gov,true
429,tech.gsa.gov,true
430,agile-labor-categories.18f.gov,true
431,internal-audit.fnal.gov,true
432,gispub.epa.gov,true
433,mo-idp.cms.gov,true
434,ps.lbl.gov,true
435,www.nssl.noaa.gov,true
436,donotcall.gov,true
437,openi.nlm.nih.gov,true
438,ldas.gsfc.nasa.gov,true
439,sysbiocube-abcc.nci.nih.gov,true
440,www.recreation.gov,true
441,visn21.va.gov,true
442,www.njsecurities.gov,true
443,gs6102dsc-goldsmr5.gesdisc.eosdis.nasa.gov,true
444,www.barbercosmo.ca.gov,true
445,armws.grantsolutions.gov,true
446,bls.gov,true
447,viamobiletrain.fda.gov,true
448,midway.fws.gov,true
449,stage-api.digitalmedia.hhs.gov,true
450,corporateapps.gsa.gov,true
451,origins-habitability.jpl.nasa.gov,true
452,www.miamidade.gov,true
453,glovis.usgs.gov,true
454,ucceventsupport.cit.nih.gov,true
455,www.pa.gov,true
456,sanantonio.fbi.gov,true
457,hq2010.bnl.gov,true
458,blm.gov,true
459,www.oshrc.gov,true
460,"2016.bbg.gov",true
461,laser-research.lbl.gov,true
462,www.oversight.gov,true
463,npin.cdc.gov,true
464,martinsburg.va.gov,true
465,cfmedicine.nlm.nih.gov,true
466,onthemap.ces.census.gov,true
467,stcloud.va.gov,true
468,geohazards.cr.usgs.gov,true
469,ncea.acl.gov,true
470,ccdev.ginniemae.gov,true
471,gema.georgia.gov,true
472,www.occ.ohio.gov,true
473,doh.dc.gov,true
474,www.doc.wa.gov,true
475,services.dat.noaa.gov,true
476,www.cdo.gov,true
477,regulations.doe.gov,true
478,so.usmission.gov,true
479,dmamc-test.pnnl.gov,true
480,niaaa.nih.gov,true
481,testint.fleta.gov,true
482,otp.nwave.noaa.gov,true
483,fincen105.cbp.dhs.gov,true
484,insurance.kansas.gov,true
485,wwwapps.nimh.nih.gov,true
486,myairforce.test.usajobs.gov,true
487,pmiweb.ornl.gov,true
488,phdc-pub.gsa.gov,true
489,pnspcn0109.care.va.gov,true
490,bjs.ojp.usdoj.gov,true
491,servicedesk.gsa.gov,true
492,fundedresearch.cancer.gov,true
493,api.eia.gov,true
494,www.asianpacificheritage.gov,true
495,buildd.usajobs.gov,true
496,www.cms.gov,true
